id,incident_date,address,city,county,state,number_killed,number_injured,operations,city_or_county,number,street,city_2,zip,county_2,households_total,households_moe,median_income_total,median_income_moe,accuracy_score,accuracy_type,state_2,latitude,longitude,state_fips,county_fips,place_fips,census_tract_code,census_block_code,census_block_group,full_fips
86,2017-07-21,200 block of Baker,Houston,NA,Texas,0,1,N/A,Houston,NA,Belk St,Houston,77087,Harris County,392,87,25469,4498,0.5,street_center,TX,29.694371,-95.313616,48,48201,4835000,332800,1018,1,482013328001018
87,2017-07-20,19900 block of River Brook Dr,Humble (Atascocita),NA,Texas,1,0,N/A,Humble (Atascocita),NA,NA,Humble,77325,Harris County,NA,NA,NA,NA,0.33,place,TX,29.83399,-95.434241,48,48201,4835348,531700,2004,2,482015317002004
88,2017-07-19,1800 block of Edmund Blvd,San Angelo,NA,Texas,1,0,N/A,San Angelo,NA,NA,San Angelo,76901,Tom Green County,NA,NA,NA,NA,0.33,place,TX,31.44451,-100.533397,48,48451,4864472,001704,2002,2,484510017042002
89,2017-07-19,1300 block of E Garnett,Gainesville,NA,Texas,0,1,N/A,Gainesville,NA,NA,Gainesville,76240,Cooke County,NA,NA,NA,NA,0.33,place,TX,33.654698,-97.158295,48,48097,4827984,000400,1027,1,480970004001027
90,2017-07-06,234 RR 1050,Concan,NA,Texas,0,3,N/A,Concan,NA,NA,Huntington,01050,Hampshire County,NA,NA,NA,NA,0.09,place,MA,42.313427,-72.903677,25,25015,2531750,813000,3016,3,250138130003016
91,2017-07-04,3134 Mission Gate,San Antonio,NA,Texas,1,0,N/A,San Antonio,3134,Mission Gate,San Antonio,78224,Bexar County,589,81,43977,4957,1,rooftop,TX,29.316448,-98.557947,48,48029,4865000,161200,2002,2,480291612002002
92,2017-07-02,600 block of County Rd L,Lamesa,NA,Texas,0,1,N/A,Lamesa,NA,NA,Lamesa,79331,Dawson County,NA,NA,NA,NA,0.33,place,TX,32.715593,-101.937544,48,48115,4841164,950402,1012,1,481159504021012
93,2017-06-26,Amos St,Houston,NA,Texas,0,1,N/A,Houston,NA,Amos St,Houston,77021,Harris County,427,90,20168,7371,1,street_center,TX,29.688531,-95.368251,48,48201,4835000,313800,1014,1,482013138001014
94,2017-06-12,CR 2342,Dayton,NA,Texas,1,0,N/A,Dayton,NA,Arabian Rd,Dayton,77535,Liberty County,531,198,68685,33286,0.7,street_center,TX,30.162469,-94.924821,48,48291,4819432,700800,4003,4,482917008004003
95,2017-06-01,13800 block of Northlake Dr,Houston,NA,Texas,1,0,N/A,Houston,NA,Belk St,Houston,77087,Harris County,392,87,25469,4498,0.5,street_center,TX,29.694371,-95.313616,48,48201,4835000,332800,1018,1,482013328001018
